Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,fixed_o_m_mw_std,Min_Power,num_units,capacity_factor,unmodified_cap_size,unmodified_existing_cap_mw,Start_Fuel_MMBTU_per_MW,Fuel,Start_Cost_per_MW,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,spur_miles,spur_capex,spur_inv_mwyr,plant_inv_cost_mwyr,Max_Share_percent,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,co2_o_m_mw,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,capture_rate,extra_ccs_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,Power_uprate_cost_per_MWyr,Max_Uprate_MW,Unnamed: 21,Model
NY_Z_A_naturalgas_ccavgcf_moderate_0,2,1,1,0.0,NY_Z_A,NaturalGas_CCAvgCF_Moderate,0,500.0,0.0,6.36,31661,2.26,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.0,middle_atlantic_naturalgas,135.0,Moderate,CCAvgCF,2031.5,1027758.92,104035,-1.0,1.166,0.0,0.0,0.0,104035.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_A_naturalgas_ctavgcf_moderate_0,2,1,1,0.0,NY_Z_A,NaturalGas_CTAvgCF_Moderate,0,100.0,0.0,9.72,23746,5.65,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,3.5,middle_atlantic_naturalgas,176.0,Moderate,CTAvgCF,2031.5,881664.378,83252,-1.0,1.087,0.0,0.0,0.0,83252.0,0.0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_A_nuclear_nuclear_moderate_0,2,1,1,0.0,NY_Z_A,Nuclear_Nuclear_Moderate,0,500.0,0.0,10.44,165046,3.21,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,middle_atlantic_uranium,365.0,Moderate,Nuclear,2031.5,7757580.889,390496,-1.0,1.057,50.0,260000.0,18273.55,372223.0,0.0,0.25,0.25,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_A_naturalgas_ccs100_moderate_0,2,1,1,0.0,NY_Z_A,NaturalGas_CCS100_Moderate,0,500.0,0.0,7.52,85431,7.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,middle_atlantic_naturalgas_ccs100,135.0,Moderate,CCS100,2031.5,2653815.807,201135,-1.0,1.038,20.0,104000.0,7309.42,193826.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_B_naturalgas_ccavgcf_moderate_0,3,1,1,0.0,NY_Z_B,NaturalGas_CCAvgCF_Moderate,0,500.0,0.0,6.36,31661,2.26,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.0,middle_atlantic_naturalgas,135.0,Moderate,CCAvgCF,2031.5,1027758.92,104035,-1.0,1.166,0.0,0.0,0.0,104035.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_B_naturalgas_ctavgcf_moderate_0,3,1,1,0.0,NY_Z_B,NaturalGas_CTAvgCF_Moderate,0,100.0,0.0,9.72,23746,5.65,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,3.5,middle_atlantic_naturalgas,176.0,Moderate,CTAvgCF,2031.5,881664.378,83252,-1.0,1.087,0.0,0.0,0.0,83252.0,0.0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_B_nuclear_nuclear_moderate_0,3,1,1,0.0,NY_Z_B,Nuclear_Nuclear_Moderate,0,500.0,0.0,10.44,165046,3.21,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,middle_atlantic_uranium,365.0,Moderate,Nuclear,2031.5,7757580.889,390496,-1.0,1.057,50.0,260000.0,18273.55,372223.0,0.0,0.25,0.25,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_B_naturalgas_ccs100_moderate_0,3,1,1,0.0,NY_Z_B,NaturalGas_CCS100_Moderate,0,500.0,0.0,7.52,85431,7.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,middle_atlantic_naturalgas_ccs100,135.0,Moderate,CCS100,2031.5,2653815.807,201135,-1.0,1.038,20.0,104000.0,7309.42,193826.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_C&E_naturalgas_ccavgcf_moderate_0,4,1,1,0.0,NY_Z_C&E,NaturalGas_CCAvgCF_Moderate,0,500.0,0.0,6.36,31661,2.26,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.0,middle_atlantic_naturalgas,135.0,Moderate,CCAvgCF,2031.5,1027758.92,104035,-1.0,1.166,0.0,0.0,0.0,104035.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_C&E_naturalgas_ctavgcf_moderate_0,4,1,1,0.0,NY_Z_C&E,NaturalGas_CTAvgCF_Moderate,0,100.0,0.0,9.72,23746,5.65,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,3.5,middle_atlantic_naturalgas,176.0,Moderate,CTAvgCF,2031.5,881664.378,83252,-1.0,1.087,0.0,0.0,0.0,83252.0,0.0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_C&E_nuclear_nuclear_moderate_0,4,1,1,0.0,NY_Z_C&E,Nuclear_Nuclear_Moderate,0,500.0,0.0,10.44,165046,3.21,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,middle_atlantic_uranium,365.0,Moderate,Nuclear,2031.5,7757580.889,390496,-1.0,1.057,50.0,260000.0,18273.55,372223.0,0.0,0.25,0.25,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_C&E_naturalgas_ccs100_moderate_0,4,1,1,0.0,NY_Z_C&E,NaturalGas_CCS100_Moderate,0,500.0,0.0,7.52,85431,7.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,middle_atlantic_naturalgas_ccs100,135.0,Moderate,CCS100,2031.5,2653815.807,201135,-1.0,1.038,20.0,104000.0,7309.42,193826.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_D_naturalgas_ccavgcf_moderate_0,5,1,1,0.0,NY_Z_D,NaturalGas_CCAvgCF_Moderate,0,500.0,0.0,6.36,31661,2.26,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.0,middle_atlantic_naturalgas,135.0,Moderate,CCAvgCF,2031.5,1027758.92,104035,-1.0,1.166,0.0,0.0,0.0,104035.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_D_naturalgas_ctavgcf_moderate_0,5,1,1,0.0,NY_Z_D,NaturalGas_CTAvgCF_Moderate,0,100.0,0.0,9.72,23746,5.65,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,3.5,middle_atlantic_naturalgas,176.0,Moderate,CTAvgCF,2031.5,881664.378,83252,-1.0,1.087,0.0,0.0,0.0,83252.0,0.0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_D_nuclear_nuclear_moderate_0,5,1,1,0.0,NY_Z_D,Nuclear_Nuclear_Moderate,0,500.0,0.0,10.44,165046,3.21,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,middle_atlantic_uranium,365.0,Moderate,Nuclear,2031.5,7757580.889,390496,-1.0,1.057,50.0,260000.0,18273.55,372223.0,0.0,0.25,0.25,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_D_naturalgas_ccs100_moderate_0,5,1,1,0.0,NY_Z_D,NaturalGas_CCS100_Moderate,0,500.0,0.0,7.52,85431,7.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,middle_atlantic_naturalgas_ccs100,135.0,Moderate,CCS100,2031.5,2653815.807,201135,-1.0,1.038,20.0,104000.0,7309.42,193826.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_F_naturalgas_ccavgcf_moderate_0,6,1,1,0.0,NY_Z_F,NaturalGas_CCAvgCF_Moderate,0,500.0,0.0,6.36,31661,2.26,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.0,middle_atlantic_naturalgas,135.0,Moderate,CCAvgCF,2031.5,1027758.92,104035,-1.0,1.166,0.0,0.0,0.0,104035.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_F_naturalgas_ctavgcf_moderate_0,6,1,1,0.0,NY_Z_F,NaturalGas_CTAvgCF_Moderate,0,100.0,0.0,9.72,23746,5.65,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,3.5,middle_atlantic_naturalgas,176.0,Moderate,CTAvgCF,2031.5,881664.378,83252,-1.0,1.087,0.0,0.0,0.0,83252.0,0.0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_F_nuclear_nuclear_moderate_0,6,1,1,0.0,NY_Z_F,Nuclear_Nuclear_Moderate,0,500.0,0.0,10.44,165046,3.21,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,middle_atlantic_uranium,365.0,Moderate,Nuclear,2031.5,7757580.889,390496,-1.0,1.057,50.0,260000.0,18273.55,372223.0,0.0,0.25,0.25,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_F_naturalgas_ccs100_moderate_0,6,1,1,0.0,NY_Z_F,NaturalGas_CCS100_Moderate,0,500.0,0.0,7.52,85431,7.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,middle_atlantic_naturalgas_ccs100,135.0,Moderate,CCS100,2031.5,2653815.807,201135,-1.0,1.038,20.0,104000.0,7309.42,193826.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_G-I_naturalgas_ccavgcf_moderate_0,7,1,1,0.0,NY_Z_G-I,NaturalGas_CCAvgCF_Moderate,0,500.0,0.0,6.36,31661,2.26,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.0,middle_atlantic_naturalgas,135.0,Moderate,CCAvgCF,2031.5,1027758.92,104035,-1.0,1.166,0.0,0.0,0.0,104035.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_G-I_naturalgas_ctavgcf_moderate_0,7,1,1,0.0,NY_Z_G-I,NaturalGas_CTAvgCF_Moderate,0,100.0,0.0,9.72,23746,5.65,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,3.5,middle_atlantic_naturalgas,176.0,Moderate,CTAvgCF,2031.5,881664.378,83252,-1.0,1.087,0.0,0.0,0.0,83252.0,0.0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_G-I_nuclear_nuclear_moderate_0,7,1,1,0.0,NY_Z_G-I,Nuclear_Nuclear_Moderate,0,500.0,0.0,10.44,165046,3.21,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,middle_atlantic_uranium,365.0,Moderate,Nuclear,2031.5,7757580.889,390496,-1.0,1.057,50.0,260000.0,18273.55,372223.0,0.0,0.25,0.25,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_G-I_naturalgas_ccs100_moderate_0,7,1,1,0.0,NY_Z_G-I,NaturalGas_CCS100_Moderate,0,500.0,0.0,7.52,85431,7.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,middle_atlantic_naturalgas_ccs100,135.0,Moderate,CCS100,2031.5,2653815.807,201135,-1.0,1.038,20.0,104000.0,7309.42,193826.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_J_naturalgas_ccavgcf_moderate_0,8,1,1,0.0,NY_Z_J,NaturalGas_CCAvgCF_Moderate,0,500.0,0.0,6.36,31661,2.26,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.0,middle_atlantic_naturalgas,135.0,Moderate,CCAvgCF,2031.5,1027758.92,144920,-1.0,1.624,0.0,0.0,0.0,144920.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_J_naturalgas_ctavgcf_moderate_0,8,1,1,0.0,NY_Z_J,NaturalGas_CTAvgCF_Moderate,0,100.0,0.0,9.72,23746,5.65,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,3.5,middle_atlantic_naturalgas,176.0,Moderate,CTAvgCF,2031.5,881664.378,111506,-1.0,1.456,0.0,0.0,0.0,111506.0,0.0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_J_nuclear_nuclear_moderate_0,8,1,1,0.0,NY_Z_J,Nuclear_Nuclear_Moderate,0,500.0,0.0,10.44,165046,3.21,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,middle_atlantic_uranium,365.0,Moderate,Nuclear,2031.5,7757580.889,501403,-1.0,1.372,50.0,260000.0,18273.55,483130.0,0.0,0.25,0.25,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_J_naturalgas_ccs100_moderate_0,8,1,1,0.0,NY_Z_J,NaturalGas_CCS100_Moderate,0,500.0,0.0,7.52,85431,7.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,middle_atlantic_naturalgas_ccs100,135.0,Moderate,CCS100,2031.5,2653815.807,231961,-1.0,1.203,20.0,104000.0,7309.42,224652.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_K_naturalgas_ccavgcf_moderate_0,9,1,1,0.0,NY_Z_K,NaturalGas_CCAvgCF_Moderate,0,500.0,0.0,6.36,31661,2.26,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.0,middle_atlantic_naturalgas,135.0,Moderate,CCAvgCF,2031.5,1027758.92,144920,-1.0,1.624,0.0,0.0,0.0,144920.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_K_naturalgas_ctavgcf_moderate_0,9,1,1,0.0,NY_Z_K,NaturalGas_CTAvgCF_Moderate,0,100.0,0.0,9.72,23746,5.65,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,3.5,middle_atlantic_naturalgas,176.0,Moderate,CTAvgCF,2031.5,881664.378,111506,-1.0,1.456,0.0,0.0,0.0,111506.0,0.0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_K_nuclear_nuclear_moderate_0,9,1,1,0.0,NY_Z_K,Nuclear_Nuclear_Moderate,0,500.0,0.0,10.44,165046,3.21,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,middle_atlantic_uranium,365.0,Moderate,Nuclear,2031.5,7757580.889,501403,-1.0,1.372,50.0,260000.0,18273.55,483130.0,0.0,0.25,0.25,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
NY_Z_K_naturalgas_ccs100_moderate_0,9,1,1,0.0,NY_Z_K,NaturalGas_CCS100_Moderate,0,500.0,0.0,7.52,85431,7.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,middle_atlantic_naturalgas_ccs100,135.0,Moderate,CCS100,2031.5,2653815.807,231961,-1.0,1.203,20.0,104000.0,7309.42,224652.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
PJM_EMAC_naturalgas_ccavgcf_moderate_0,10,1,1,0.0,PJM_EMAC,NaturalGas_CCAvgCF_Moderate,0,500.0,0.0,6.36,31661,2.26,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.0,middle_atlantic_naturalgas,135.0,Moderate,CCAvgCF,2031.5,1027758.92,106374,-1.0,1.192,0.0,0.0,0.0,106374.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
PJM_EMAC_naturalgas_ctavgcf_moderate_0,10,1,1,0.0,PJM_EMAC,NaturalGas_CTAvgCF_Moderate,0,100.0,0.0,9.72,23746,5.65,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,3.5,middle_atlantic_naturalgas,176.0,Moderate,CTAvgCF,2031.5,881664.378,85948,-1.0,1.123,0.0,0.0,0.0,85948.0,0.0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
PJM_EMAC_nuclear_nuclear_moderate_0,10,1,1,0.0,PJM_EMAC,Nuclear_Nuclear_Moderate,0,500.0,0.0,10.44,165046,3.21,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,middle_atlantic_uranium,365.0,Moderate,Nuclear,2031.5,7757580.889,408115,-1.0,1.107,50.0,260000.0,18273.55,389842.0,0.0,0.25,0.25,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
PJM_EMAC_naturalgas_ccs100_moderate_0,10,1,1,0.0,PJM_EMAC,NaturalGas_CCS100_Moderate,0,500.0,0.0,7.52,85431,7.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,middle_atlantic_naturalgas_ccs100,135.0,Moderate,CCS100,2031.5,2653815.807,204043,-1.0,1.053,20.0,104000.0,7309.42,196734.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
PJM_Rest_naturalgas_ccccsavgcf_moderate_0,11,1,1,0.0,PJM_Rest,NaturalGas_CCCCSAvgCF_Moderate,0,500.0,0.0,6.68,70016,15.15,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,east_north_central_naturalgas_ccs90,135.0,Moderate,CCCCSAvgCF,2031.5,2235143.597,159990,-1.0,0.968,20.0,104000.0,7309.42,151020.0,0.0,0.64,0.64,6,6,537.66,1661.114,19479.688,16.247,90.0,10.0,0.319,8.368,0.0,0.0,-1.0,1
PJM_Rest_naturalgas_ccavgcf_moderate_0,11,1,1,0.0,PJM_Rest,NaturalGas_CCAvgCF_Moderate,0,500.0,0.0,6.36,31661,2.26,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.0,east_north_central_naturalgas,135.0,Moderate,CCAvgCF,2031.5,1027758.92,87101,-1.0,0.976,0.0,0.0,0.0,87101.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
PJM_Rest_naturalgas_ctavgcf_moderate_0,11,1,1,0.0,PJM_Rest,NaturalGas_CTAvgCF_Moderate,0,100.0,0.0,9.72,23746,5.65,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,3.5,east_north_central_naturalgas,176.0,Moderate,CTAvgCF,2031.5,881664.378,73331,-1.0,0.958,0.0,0.0,0.0,73331.0,0.0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
PJM_Rest_nuclear_nuclear_moderate_0,11,1,1,0.0,PJM_Rest,Nuclear_Nuclear_Moderate,0,500.0,0.0,10.44,165046,3.21,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,east_north_central_uranium,365.0,Moderate,Nuclear,2031.5,7757580.889,362841,-1.0,0.978,50.0,260000.0,18273.55,344568.0,0.0,0.25,0.25,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
PJM_Rest_naturalgas_ccs100_moderate_0,11,1,1,0.0,PJM_Rest,NaturalGas_CCS100_Moderate,0,500.0,0.0,7.52,85431,7.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,east_north_central_naturalgas_ccs100,135.0,Moderate,CCS100,2031.5,2653815.807,188194,-1.0,0.968,20.0,104000.0,7309.42,180885.0,0.0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1
