Time_Index,No_fuel,new_england_coal,new_england_naturalgas,new_england_uranium,middle_atlantic_naturalgas,middle_atlantic_uranium,middle_atlantic_coal,east_north_central_coal,east_north_central_naturalgas,east_north_central_uranium,new_england_naturalgas_ccs100,middle_atlantic_naturalgas_ccs100,east_north_central_naturalgas_ccs90,east_north_central_naturalgas_ccs100
87,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
88,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
89,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
90,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
91,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
92,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
93,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
94,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
95,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
96,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
97,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
98,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
99,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
100,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
101,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
102,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
103,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
104,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
105,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
106,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
107,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
108,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
109,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
110,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
111,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
